FCU,Fuerza Cultural,#f58231
CO,Comunes,#f032e6
CS,Convergencia Social,#911eb4
FC,Fuerza Común,#ffd8b1
FRVS,Federación Regionalista Verde Social,#800000
PC,Partido Comunista,#e6194B
PI,Partido Igualdad,#fabed4
RD,Revolución Democrática,#dcbeff
PS,Partido Socialista,#808000
DC,Democracia Cristiana,#aaffc3
PPD,Partido Por la Democracia,#bfef45
PL,Partido Liberal,#fffac8
PR,Partido Radical,#ffe119
PRO,Partido Progresista,#9A6324
EVOP,Evópoli,#42d4f4
PLR,Partido Republicano,#469990
RN,Revolución Nacional,#4363d8
UDI,Unión Demócrata Independiente,#000075
IND,Independiente,#a9a9a9
