id,partido,coalicion,nombre
1016,DC,NPC,Miguel Ángel Calisto Águila
1094,UDI,CV,Cristian Labbé Martínez
1059,RN,CV,Ximena Ossandón Irarrázabal
1025,RN,CV,Catalina Del Real Mihovilovic
1105,DC,NPC,Héctor Barría Angulo
971,RN,CV,Bernardo Berger Fett
1115,IND,AD,Mercedes Bulnes Núñez
1019,RN,CV,José Miguel Castro Bascuñán
1124,IND,NPC,Tomás De Rementería Venegas
1030,RN,CV,Camila Flores Oporto
1035,PC,AD,Carmen Hertz Cádiz
1136,IND,CV,Paula Labra Besserer
1044,PS,NPC,Raúl Leiva Carvajal
1049,PR,NPC,Cosme Mellado Pino
1148,IND,AD,Javiera Morales Alvarado
1056,PS,NPC,Emilia Nuyado Ancapichún
1063,RD,AD,Catalina Pérez Salinas
1163,RN,CV,Marcia Raphael Mora
1181,PS,NPC,Nelson Venegas Salazar
1087,CS,AD,Gael Yeomans Araya
976,UDI,CV,Juan Antonio Coloma Álamos
1099,IND,NPC,Jaime Araya Guerrero
1130,IND,NPC,Marta González Olea
1159,PC,AD,Lorena Pizarro Sierra
1180,RD,AD,Consuelo Veloso Ávila
1164,IND,AD,Marcela Riquelme Aliaga
1102,PCC,SC,Roberto Arroyo Muñoz
973,PC,AD,Karol Cariola Oliva
1134,IND,NPC,Andrés Jouannet Valderrama
1050,RN,CV,Miguel Mellado Suazo
1155,PCC,SC,Rubén Darío Oyarzo Figueroa
1074,PC,AD,Marisela Santibáñez Novoa
1028,RN,CV,Eduardo Durán Salinas
1162,PC,AD,Matías Ramírez Pascal
1143,UDI,CV,Cristóbal Martínez Ramírez
1123,PREP,SC,Gonzalo De la Carrera Correa
1142,PS,NPC,Daniel Manouchehri Lobos
1046,RN,CV,Andrés Longton Herrera
1121,UDI,CV,Eduardo Cornejo Lagos
1114,FRVS,AD,Félix Bugueño Sotelo
1107,CS,AD,María Francisca Bello Campos
990,PS,NPC,Daniel Melo Contreras
1157,IND,CV,Marlene Pérez Cartes
1106,RN,CV,Miguel Ángel Becker Alvear
1022,RN,CV,Sofía Cid Versalovic
1057,IND,CV,Erika Olivera De La Fuente
1118,DC,NPC,Ricardo Cifuentes Lillo
1062,DC,NPC,Joanna Pérez Olea
1111,UDI,CV,Fernando Bórquez Montecinos
1138,UDI,CV,Henry Leal Bizama
1003,UDI,CV,Renzo Trisotti Martínez
1104,PREP,SC,Chiara Barchiesi Chávez
1133,PREP,SC,Juan Manuel Irarrázaval Rossel
1152,PREP,SC,Gloria Naveillan Arriagada
1031,UDI,CV,Juan Fuenzalida Cobo
1065,UDI,CV,Guillermo Ramírez Diez
1177,PC,AD,Carolina Tello Rojas
1097,DC,NPC,Eric Aedo Jeldres
1015,RD,AD,Jorge Brito Hasbún
1058,RD,AD,Maite Orsini Pascal
803,IND,NPC,René Alinco Bustos
1175,IND,NPC,Cristián Tapia Ramos
1098,PCC,SC,Yovana Ahumada Palma
948,PCC,SC,Gaspar Rivas Sánchez
1137,IND,NPC,Tomás Lagomarsino Guzmán
1156,IND,SC,Hernán Palma Pérez
872,FRVS,AD,Jaime Mulet Martínez
1034,PEV,SC,Félix González Gatica
1161,IND,SC,Francisco Pulgar Castillo
1110,IND,SC,Carlos Bianchi Chelech
1131,RN,CV,Mauro González Villarroel
1096,PC,AD,María Candelaria Acevedo Sáez
1009,UDI,CV,Jorge Alessandri Vergara
