id,partido,coalicion,nombre
1009,UDI,CV,Jorge Alessandri Vergara
803,IND,UC,René Alinco Bustos
1010,EVOP,CV,Sebastián Alvarez Ramírez
968,PS,UC,Jenny Alvarez Vera
923,UDI,CV,Pedro Pablo Alvarez-Salamanca Ramírez
810,DC,UC,Gabriel Ascencio Mansilla
925,IND,SC,Pepe Auth Stewart
926,UDI,CV,Nino Baltolu Rasera
1012,PC,AD,Boris Barrera Moreno
811,UDI,CV,Ramón Barros Montero
971,RN,CV,Bernardo Berger Fett
1013,PL,UC,Alejandro Bernales Maldonado
1014,IND,SC,Karim Bianchi Retamales
815,UDI,CV,Sergio Bobadilla Muñoz
1015,RD,AD,Jorge Brito Hasbún
1016,DC,UC,Miguel Ángel Calisto Águila
973,PC,AD,Karol Cariola Oliva
1019,RN,CV,José Miguel Castro Bascuñán
931,PS,UC,Juan Luis Castro González
1020,PPD,UC,Ricardo Celis Araya
1021,RN,CV,Andrés Celis Montt
975,PS,UC,Daniella Cicardini Milla
1022,RN,CV,Sofía Cid Versalovic
976,UDI,CV,Juan Antonio Coloma Álamos
1023,RD,AD,Miguel Crispi Serrano
1024,EVOP,CV,Luciano Cruz-Coke Carvallo
1025,RN,CV,Catalina Del Real Mihovilovic
1027,RN,CV,Jorge Durán Espinoza
1028,RN,CV,Eduardo Durán Salinas
1029,RN,CV,Francisco Eguiguren Correa
837,PS,UC,Fidel Espinoza Sandoval
981,PS,UC,Maya Fernández Allende
982,DC,UC,Iván Flores García
1030,RN,CV,Camila Flores Oporto
1031,UDI,CV,Juan Fuenzalida Cobo
984,RN,CV,Gonzalo Fuenzalida Figueroa
985,UDI,CV,Sergio Gahona Salazar
1032,RN,CV,Ramón Galleguillos Castillo
843,RN,CV,René Manuel García García
936,PPD,UC,Cristina Girardi Lavín
1034,PEV,AD,Félix González Gatica
848,PPD,UC,Rodrigo González Torres
850,UDI,CV,Javier Hernández Hernández
986,PR,UC,Marcela Hernando Pérez
1035,PC,AD,Carmen Hertz Cádiz
940,UDI,CV,María José Hoffmann Opazo
1038,PS,UC,Marcos Ilabaca Cerda
987,RD,AD,Giorgio Jackson Drago
1039,PH,AD,Pamela Jiles Moreno
856,PPD,UC,Tucapel Jiménez Fuentes
1040,RN,CV,Harry Jürgensen Rundshagen
1041,EVOP,CV,Pablo Kast Sommerhoff
1042,EVOP,CV,Sebastián Keitel Bianchi
172,RN,CV,Carlos Kuschel Silva
1043,PC,AD,Amaro Labra Sepúlveda
989,UDI,CV,Joaquín Lavín León
1044,PS,UC,Raúl Leiva Carvajal
1045,RN,CV,Aracely Leuquén Uribe
1046,RN,CV,Andrés Longton Herrera
1047,RN,CV,Karin Luck Urban
942,UDI,CV,Javier Macaya Danús
1048,PPD,UC,Carolina Marzán Pinto
660,DC,UC,Manuel Matta Aragay
1049,PR,UC,Cosme Mellado Pino
1050,RN,CV,Miguel Mellado Suazo
991,PL,UC,Vlado Mirosevic Verdugo
1051,CO,AD,Claudia Mix Jiménez
1052,EVOP,CV,Andrés Molina Magofke
869,PS,UC,Manuel Monsalve Benavides
945,UDI,CV,Celso Morales Muñoz
1053,UDI,CV,Cristhian Moreira Barros
872,FRVS,AD,Jaime Mulet Martínez
1054,RN,CV,Francesca Muñoz González
74,PS,UC,Jaime Naranjo Ortiz
1055,UDI,CV,Nicolás Noman Garrido
875,UDI,CV,Iván Norambuena Farías
993,PC,AD,Daniel Núñez Arancibia
994,RN,CV,Paulina Núñez Urrutia
1056,PS,UC,Emilia Nuyado Ancapichún
1057,IND,CV,Erika Olivera De La Fuente
1058,RD,AD,Maite Orsini Pascal
879,DC,UC,José Miguel Ortiz Novoa
1059,RN,CV,Ximena Ossandón Irarrázabal
